,Location,Cost,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,URL,Yelp,Google,N,Latitude,Longitude
56,ortiz's taco shop #2,6.39,0.7474999999999999,2.75,4.133333333333334,3.8,3.25,4.5,4.3,3.75,3.675,4.5,3.6525,https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4.0,4.2,4,32.7983334,-117.2458182
57,oscar's mexican food,5.183333333333334,,2.6666666666666665,2.5,2.8333333333333335,2.8333333333333335,3.5,4.333333333333333,3.5,3.1666666666666665,5.0,3.25,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,3,33.1452281,-117.2003865
58,papa chito's mexican food,6.25,0.66,3.75,4.25,2.75,2.75,3.25,3.75,3.0,2.75,5.0,2.975,https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,2.5,3.3,2,32.853489,-117.203946
59,pollos maria,6.765000000000001,0.615,3.5,3.875,4.0,3.625,3.375,3.5,2.625,4.25,2.5,3.675,http://pollosmaria.com/,4.0,3.8,4,33.1612269,-117.3443176
60,porkyland,8.225,,3.625,4.25,3.625,3.75,3.375,3.5,3.5,3.125,5.0,3.825,http://goporkyland.com/,4.0,4.4,4,32.9203346,-117.2140145
61,raul's mexican food,5.0,,2.0,,1.75,1.5,1.25,1.5,1.75,1.75,4.0,1.5,https://www.yelp.com/biz/rauls-shack-encinitas,4.0,4.2,2,33.0461712,-117.2941785
62,rigoberto's taco shop,6.8204545454545435,0.9206666666666666,3.6363636363636362,4.072727272727272,3.7666666666666666,3.65,3.9523809523809526,3.6181818181818177,3.3583333333333334,3.752272727272727,3.840909090909091,3.815909090909091,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4.0,4.4,22,32.8798199,-117.1616766
63,rigoberto's taco shop la jolla,6.625,,3.625,3.5,3.4375,3.375,4.25,3.25,2.75,4.25,4.75,3.5999999999999996,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4.0,4,32.8372328,-117.2780597
64,roberto's taco shop clairemont,6.140000000000001,,3.7,3.8,3.375,3.25,4.0,4.375,3.0,3.0,4.875,3.4,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,4.0,4.0,4,32.7973995,-117.192783
65,roberto's taco shop hillcrest,7.5,0.8025,3.75,4.0,3.0,3.125,4.0,3.55,2.95,3.25,4.075,3.3,https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,4.0,4.2,4,32.7472185,-117.161355
66,roberto's very mexican food,5.95,0.625,1.75,3.75,3.0,2.25,4.0,1.25,1.25,2.5,5.0,2.1,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,3.5,3.9,2,32.9342398,-117.2551306
67,rubios ucsd,8.49,0.505,2.5,3.5,3.25,3.25,2.75,3.25,3.25,3.5,2.75,3.3,https://www.yelp.com/biz/rubios-la-jolla-4,3.5,3.4,2,32.8799547,-117.2371192
68,rudy's taco shop,6.6,,3.25,2.75,3.5,4.25,2.5,1.0,3.0,3.5,2.75,2.9,http://www.rudystacoshop.com/,4.0,4.3,2,32.9903958,-117.2606052
69,senor grubby's,9.0,0.74,2.25,3.0,2.25,2.0,1.0,1.5,2.5,1.75,4.25,1.65,eatgrubbys.com,4.0,4.1,2,33.1586417,-117.3499185
70,senor panchos,6.25,0.645,2.75,3.75,3.5,3.0,4.25,4.5,3.75,3.0,5.0,3.45,https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,4.0,4.2,2,33.1314939,-117.2095632
71,sotos mexican food,6.37,0.88,4.25,3.0,2.75,4.0,2.5,3.0,4.0,3.75,4.75,3.35,https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,2,32.8791407,-117.1673854
72,taco stand,7.573043478260868,0.769090909090909,3.782608695652174,3.4347826086956523,4.282608695652174,3.9782608695652173,3.9,3.869565217391304,3.747826086956522,4.230434782608696,4.065217391304348,4.1347826086956525,http://letstaco.com/,4.5,4.4,23,32.8393518,-117.2768191
73,taco stand encinitas,7.69,0.7275,2.95,3.65,4.175,4.125,4.1875,3.675,4.5625,4.425,3.575,4.4,https://www.yelp.com/biz/the-taco-stand-encinitas,4.0,4.4,4,33.0440809,-117.293903
74,taco surf pb,6.766666666666666,0.8099999999999999,4.166666666666667,2.0,3.9333333333333336,4.133333333333334,4.0,2.8333333333333335,3.6,4.066666666666666,4.666666666666667,4.066666666666666,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4.0,4.6,3,32.7988776,-117.2560148
75,taco villa,6.146800000000001,0.6904545454545454,3.179310344827586,4.064285714285714,3.7035714285714287,3.4482758620689653,3.7648275862068963,3.444827586206897,2.996296296296296,3.2655172413793103,4.05,3.579310344827586,https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,29,32.8799547,-117.2371192
76,tony's fresh mexican food,7.621111111111111,0.7859999999999999,3.7222222222222223,3.875,3.125,3.0,3.625,3.6666666666666665,2.4166666666666665,3.4444444444444446,3.8333333333333335,3.4055555555555554,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3.0,4.1,9,32.8799813,-117.1605508
77,valentines mexican food,7.6125,0.7228571428571428,4.0625,4.3375,4.025,4.0625,4.4375,4.0,3.5625,4.0,3.1875,4.3125,https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4.0,4.0,8,32.7174996,-117.1591189
78,vallarta express,7.276923076923077,0.895,2.9423076923076925,3.8,3.3846153846153846,3.3846153846153846,3.5384615384615383,3.292307692307692,3.4583333333333335,3.238461538461538,3.6538461538461537,3.553846153846154,http://www.vallartaexpress.com/menu/,3.5,4.0,13,32.8213737,-117.1826061
